Filter,,,,,,,
,,,,,,,
,,,Data,,,,
Archive,Object,Function,Sum - Total,Sum - Flash Code,Sum - IRAM,Sum - DIRAM,Sum - Flash Data
(exe),esp_butt,,362138,191937,0,94,170107
libadler2-c1b7b91cc2c06d84.rlib,adler2,,934,774,0,0,160
libaho_corasick-0135f63e30bbb238.rlib,aho_corasick,,192,192,0,0,0
liballoc-d42fd94ad724f5f9.rlib,alloc,,3001,2636,0,0,365
libanyhow-3c8564365c8d092b.rlib,anyhow,,3235,2545,0,0,690
libapp_update.a,esp_ota_ops.c,,122,118,0,4,0
libasync_stream-a277ab2c8caa9023.rlib,async_stream,,231,137,0,8,86
libatomic_waker-586eed34ea6a9b60.rlib,atomic_waker,.rodata..Lanon.d5245254fb7a73f9a3509ea7d2ee30d2.1,16,0,0,0,16
,,<atomic_waker::AtomicWaker>::new,11,11,0,0,0
,,<atomic_waker::AtomicWaker>::register,159,159,0,0,0
,,<atomic_waker::AtomicWaker>::take,77,77,0,0,0
libbootloader_support.a,,,916,34,882,0,0
libbt.a,,,45621,42995,575,269,1782
libbtbb.a,,,3447,3158,0,289,0
libbtdm_app.a,,,68906,49273,4114,10349,5170
libbtuuid-d9ee253d69cfa087.rlib,btuuid,,929,929,0,0,0
libbuttplug_client_in_process-3ee29f476986566b.rlib,,,31474,26644,0,12,4818
libbuttplug_client-c17ca259e9faaa0e.rlib,,,48866,41146,0,12,7708
libbuttplug_core-127645953888719d.rlib,,,49544,41993,0,12,7539
libbuttplug_server_device_config-86d8c8076bbb64a0.rlib,,,46859,41618,0,0,5241
libbuttplug_server.rlib,,,204384,178220,0,120,26044
libc_nano.a,,,24744,22411,0,584,1749
libcompact_str-8d1d3945eaed9813.rlib,,,1377,1172,0,0,205
libcompiler_builtins-34169a7930e65bde.rlib,,,2545,2545,0,0,0
libcore-097813e9c5f40738.rlib,core,,43833,33646,0,0,10187
libcxx.a,,,64,64,0,0,0
libdashmap-cd2292fefa0e77aa.rlib,,,4085,3585,0,12,488
libdriver.a,,,5832,4619,937,42,234
libefuse.a,,,1505,1057,0,176,272
libembedded_graphics_core-93b19130684f2397.rlib,,,1929,1529,0,0,400
libembedded_graphics-f986401a6484c808.rlib,,,10866,9826,0,0,1040
libembedded_svc-1b865aa97673209b.rlib,,,40,40,0,0,0
libenumflags2-f753c0759e109880.rlib,enumflags2,<u8 as enumflags2::_internal::BitFlagNum>::wrapping_neg,8,8,0,0,0
libesp_adc.a,,,2797,2367,243,0,187
libesp_app_format.a,,,403,129,0,10,264
libesp_common.a,,,26,12,0,0,14
libesp_driver_gpio.a,,,6169,5242,253,36,638
libesp_driver_uart.a,,,2390,1867,0,336,187
libesp_driver_usb_serial_jtag.a,,,1711,1445,101,73,92
libesp_hw_support.a,,,29253,18904,2328,7079,942
libesp_idf_hal-a74a74900189b6ed.rlib,,,5220,3778,0,622,820
libesp_idf_svc-562f6ac6398becc5.rlib,,,529,335,0,0,194
libesp_idf_sys-44a07589c1ca08ee.rlib,,,293,277,0,0,16
libesp_mm.a,,,1178,867,12,191,108
libesp_partition.a,,,1300,1292,0,8,0
libesp_phy.a,,,2645,2147,89,191,218
libesp_pm.a,,,24,8,0,16,0
libesp_psram.a,,,2228,848,157,1179,44
libesp_ringbuf.a,,,2868,2851,0,17,0
libesp_rom.a,,,514,66,60,388,0
libesp_security.a,,,20,12,0,0,8
libesp_system.a,,,13572,9092,2314,1578,588
libesp_timer.a,,,2175,1224,827,100,24
libesp_vfs_console.a,,,550,386,0,16,148
libesp_wifi.a,,,58,54,0,0,4
libfluent_uri-18c9ed7540b4bfd2.rlib,,,82,66,0,0,16
libfreertos.a,,,18958,9530,180,9236,12
libfutures_core-b5fffa5e72aca2eb.rlib,,,286,270,0,0,16
libfutures_executor-3379075b047a9e9f.rlib,,,23,23,0,0,0
libfutures_util-f959e86e07147734.rlib,,,71,55,0,0,16
libhal.a,,,12127,8134,292,3701,0
libhashbrown-8fccd1fe3152c5b7.rlib,,,264,156,0,0,108
libhashbrown-ea65a38371a6e557.rlib,,,98,54,0,0,44
libheap.a,,,8379,7840,0,20,519
libitoa-d9287e05371a0964.rlib,,,578,330,0,0,248
libjsonschema-d296c08e6f0e1edb.rlib,,,42,42,0,0,0
liblog-9686e782959cd3ec.rlib,,,240,200,0,16,24
liblog.a,,,1451,832,24,595,0
libmbedcrypto.a,,,64,56,0,4,4
libmemchr-e067f95772193a03.rlib,memchr,<*const u8 as memchr::ext::Pointer>::distance,8,8,0,0,0
libmini_oled-93bfc6c41f3902b0.rlib,,,1494,740,0,0,754
libminiz_oxide-29014484e402ccf2.rlib,,,15489,11022,0,0,4467
libnewlib.a,,,2946,1462,782,686,16
libnum_bigint-0c1b05dab2e40f2e.rlib,,,380,380,0,0,0
libnvs_flash.a,,,12410,12250,0,24,136
libnvs_sec_provider.a,nvs_sec_provider.c,.text.nvs_sec_provider_include_impl,5,5,0,0,0
libonce_cell-1a1a55b8bc037181.rlib,,,527,479,0,0,48
libpanic_abort-5b8bccb5513fd9a7.rlib,panic_abort,__rustc::__rust_start_panic,13,13,0,0,0
libparking_lot_core-ce259af9e029608f.rlib,,,2570,2316,0,24,230
libphy.a,,,33703,27255,0,6448,0
libpostcard-c3f8c44da99948b4.rlib,,,149,149,0,0,0
libpthread.a,,,1753,1725,0,28,0
libreferencing-aa64bae0b3c80e37.rlib,,,858,762,0,0,96
libregex_automata-dfabc08889d00b3f.rlib,,,715,597,0,0,118
libregex_syntax-c325a883879e8f3d.rlib,regex_syntax,.rodata..Lanon.2cf2967851f78b55c41279fed02421ce.1292,9,0,0,0,9
,,.rodata..Lanon.2cf2967851f78b55c41279fed02421ce.37,53,0,0,0,53
,,.rodata..Lanon.2cf2967851f78b55c41279fed02421ce.39,16,0,0,0,16
,,.rodata..Lanon.2cf2967851f78b55c41279fed02421ce.40,16,0,0,0,16
,,.rodata..Lanon.2cf2967851f78b55c41279fed02421ce.41,16,0,0,0,16
,,.rodata..Lanon.2cf2967851f78b55c41279fed02421ce.42,16,0,0,0,16
,,.rodata..Lanon.2cf2967851f78b55c41279fed02421ce.4604,16,0,0,0,16
,,<[alloc::string::String]>::join::<&str>,25,25,0,0,0
,,<[core::mem::maybe_uninit::MaybeUninit<u8>]>::split_at_mut,43,43,0,0,0
,,<&bool as core::fmt::Debug>::fmt,21,21,0,0,0
,,<&mut core::fmt::Formatter as core::fmt::Write>::write_fmt,65,65,0,0,0
,,<alloc::raw_vec::RawVecInner>::with_capacity_in,41,41,0,0,0
,,<alloc::vec::Vec<u8>>::new,23,23,0,0,0
,,<alloc::vec::Vec<u8>>::with_capacity_in,29,29,0,0,0
,,<core::fmt::Arguments>::as_statically_known_str,7,7,0,0,0
,,"<core::iter::adapters::map::Map<core::slice::iter::Iter<alloc::string::String>, alloc::str::join_generic_copy<str, u8, alloc::string::String>::{closure#0}::{closure#0}> as core::iter::traits::iterator::Iterator>::try_fold::<usize, <usize>::checked_add, core::option::Option<usize>>",44,44,0,0,0
,,"alloc::str::join_generic_copy::<str, u8, alloc::string::String>",978,958,0,0,20
librustc_demangle-dfcb5b5c8fa99cf5.rlib,,,18168,15731,0,0,2437
librustc_hash-4906ae4f5f0d47a5.rlib,rustc_hash,<rustc_hash::FxBuildHasher as core::hash::BuildHasher>::build_hasher,7,7,0,0,0
libserde_core-11a9ccd2fb800df5.rlib,,,1450,1140,0,0,310
libserde_describe-87e2e53930ecdfeb.rlib,,,1509,1259,0,0,250
libserde_json-7d08f6ced139fd36.rlib,,,15062,9587,0,0,5475
libserde-b8b1096d823d0cdb.rlib,serde,<&str as core::slice::cmp::SliceContains>::slice_contains,50,50,0,0,0
libsmallvec-233abb0a1dbfeab0.rlib,,,200,157,0,0,43
libsoc.a,,,2109,0,0,0,2109
libspi_flash.a,,,9931,1245,851,7327,508
libstd-400c91cfb25e7da3.rlib,,,27193,20988,0,201,6004
libstdc++.a,,,1481,1261,0,21,199
libstrum-d9466b9700426a08.rlib,,,51,25,0,0,26
libtokio_util-68516f161e1fde75.rlib,,,2552,2404,0,0,148
libtokio-7d090a14760b9c11.rlib,,,20867,17233,0,28,3606
libtracing_core-255aa1bf5c18c3fc.rlib,,,6604,5321,0,98,1185
libtracing_log-7fcbbfeb3167bdb6.rlib,,,4503,2951,0,540,1012
libtracing-c5717a0b18d64e30.rlib,tracing,.rodata..Lanon.4f837c49d021eebaef13d07c4b0f1cae.31,16,0,0,0,16
,,.rodata..Lanon.4f837c49d021eebaef13d07c4b0f1cae.6,16,0,0,0,16
,,"<tracing_core::dispatcher::CURRENT_STATE::{closure#0} as core::ops::function::FnOnce<(core::option::Option<&mut core::option::Option<tracing_core::dispatcher::State>>,)>>::call_once",26,26,0,0,0
,,<tracing_core::dispatcher::Dispatch as core::clone::Clone>::clone,55,55,0,0,0
,,<tracing_core::dispatcher::Dispatch>::clone_span,36,36,0,0,0
,,<tracing_core::dispatcher::Entered>::current,67,67,0,0,0
,,<tracing::span::Span>::current::{closure#0},120,120,0,0,0
,,<tracing::span::Span>::make_with,67,67,0,0,0
,,<tracing::span::Span>::new,27,27,0,0,0
,,<tracing::span::Span>::new::{closure#0},42,42,0,0,0
,,<tracing::span::Span>::or_current,48,48,0,0,0
,,core::ptr::drop_in_place::<core::cell::Ref<tracing_core::dispatcher::Dispatch>>,41,41,0,0,0
,,core::ptr::drop_in_place::<tracing::span::Span>,74,74,0,0,0
,,"tracing_core::dispatcher::get_default::<bool, tracing::__macro_support::__is_enabled::{closure#0}>",134,134,0,0,0
,,"tracing_core::dispatcher::get_default::<tracing::span::Span, <tracing::span::Span>::current::{closure#0}>",183,183,0,0,0
,,"tracing_core::dispatcher::get_default::<tracing::span::Span, <tracing::span::Span>::new::{closure#0}>",226,226,0,0,0
,,tracing::__macro_support::__is_enabled,35,35,0,0,0
,,tracing::__macro_support::__is_enabled::{closure#0},38,38,0,0,0
libu8g2_fonts-1a73c03c75dce4ba.rlib,u8g2_fonts,.rodata..Lanon.795595194e0c9568b53588d3e881f041.11,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.12,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.13,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.14,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.15,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.16,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.18,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.19,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.21,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.22,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.23,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.25,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.3,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.32,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.33,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.34,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.35,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.4,43,0,0,0,43
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.42,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.43,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.44,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.45,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.46,52,0,0,0,52
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.48,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.49,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.50,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.51,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.52,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.53,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.55,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.56,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.57,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.58,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.59,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.6,52,0,0,0,52
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.66,16,0,0,0,16
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.67,15,0,0,0,15
,,.rodata..Lanon.795595194e0c9568b53588d3e881f041.7,16,0,0,0,16
,,<core::num::error::TryFromIntError as core::fmt::Debug>::fmt,36,36,0,0,0
,,<core::ops::range::RangeFrom<usize> as core::slice::index::SliceIndex<[u8]>>::index,29,29,0,0,0
,,<u8g2_fonts::font_reader::FontReader>::get_default_line_height,43,43,0,0,0
,,<u8g2_fonts::font_reader::FontReader>::try_retrieve_glyph_data,611,611,0,0,0
,,<u8g2_fonts::font_reader::glyph_reader::GlyphReader>::create_renderer,19,19,0,0,0
,,<u8g2_fonts::font_reader::glyph_reader::GlyphReader>::new,120,120,0,0,0
