#,Archive,Object,Function,Total,Flash Code,IRAM,DIRAM,Flash Data,Address,File Range
1,(exe),esp_butt,.rodata.str1.1,79253,0,0,0,79253,0x3c0e0f3c,0x0001f3c-0x00154d1
2,(exe),esp_butt,.rodata..Lanon.63d0ca301839f4da393c703bb16131b6.693,57943,0,0,0,57943,0x3c0f9720,0x001a720-0x0028977
3,(exe),esp_butt,<esp_butt::app::app::App>::main::{closure#0},17909,17909,0,0,0,0x4201ffe8,0x007efe8-0x00835dd
4,(exe),esp_butt,<<esp_butt::buttplug::data::ButtplugData as serde_core::de::Deserialize>::deserialize::__Visitor as serde_core::de::Visitor>::visit_seq::<postcard::de::deserializer::SeqAccess<postcard::de::flavors::Slice>>,11077,11077,0,0,0,0x4200ead8,0x006dad8-0x007061d
5,libbuttplug_server.rlib,buttplug_server,<buttplug_server::device::server_device_manager::ServerDeviceManagerBuilder>::finish::{closure#2},8530,8530,0,0,0,0x4204e028,0x00ad028-0x00af17a
6,libminiz_oxide-29014484e402ccf2.rlib,miniz_oxide,miniz_oxide::inflate::core::decompress,6781,6781,0,0,0,0x420310cc,0x00900cc-0x0091b49
7,(exe),esp_butt,esp_butt::main,5894,5894,0,0,0,0x42026fe4,0x0085fe4-0x00876ea
8,libbuttplug_server.rlib,buttplug_server,<buttplug_server::device::server_device_manager_event_loop::ServerDeviceManagerEventLoop>::handle_device_communication::{closure#0}::{closure#1},5065,5065,0,0,0,0x4204bc7c,0x00aac7c-0x00ac045
9,(exe),esp_butt,.rodata..Lanon.63d0ca301839f4da393c703bb16131b6.3,5014,0,0,0,5014,0x3c0f44e4,0x00154e4-0x001687a
10,libbuttplug_client_in_process-41e0cd7df13ebc18.rlib,buttplug_client_in_process,<buttplug_client::ButtplugClient>::connect::<buttplug_client_in_process::in_process_connector::ButtplugInProcessClientConnector>::{closure#0}::{closure#1},4699,4699,0,0,0,0x42037b08,0x0096b08-0x0097d63
11,(exe),esp_butt,<esp_butt::ble::discover::Discovery<esp_butt::buttplug::hwmgr::comm_manager::BleCommunicationManager>>::handle_gap_event,3424,3424,0,0,0,0x42028bcc,0x0087bcc-0x008892c
12,libbuttplug_server.rlib,buttplug_server,buttplug_server::device::device_task::spawn_device_task::{closure#0},3345,3345,0,0,0,0x42051058,0x00b0058-0x00b0d69
13,libc_nano.a,libc_a-strtod,.text._strtod_l,3294,3294,0,0,0,0x420c7dd8,0x0126dd8-0x0127ab6
14,libbuttplug_server.rlib,buttplug_server,<buttplug_server::device::protocol_impl::lovense::LovenseIdentifier as buttplug_server::device::protocol::ProtocolIdentifier>::identify::{closure#0},3261,3261,0,0,0,0x4205259c,0x00b159c-0x00b2259
15,libc_nano.a,libc_a-dtoa,.text._dtoa_r,3223,3223,0,0,0,0x420c6898,0x0125898-0x012652f
16,libfreertos.a,port.c,.dram1.3,3072,0,0,3072,0,0x3fc93260,0x004e260-0x004ee60
17,(exe),esp_butt,<serde_describe::de::SchemaDeserializer<&mut postcard::de::deserializer::Deserializer<postcard::de::flavors::Slice>> as serde_core::de::Deserializer>::deserialize_struct::<<buttplug_server_device_config::device_definitions::ServerDeviceDefinition as serde_core::de::Deserialize>::deserialize::__Visitor>,3004,3004,0,0,0,0x42018920,0x0077920-0x00784dc
18,(exe),esp_butt,<esp_butt::buttplug::hwmgr::hardware::BleHardwareSpecializer as buttplug_server::device::hardware::HardwareSpecializer>::specialize::{closure#0},2780,2780,0,0,0,0x42026410,0x0085410-0x0085eec
19,libphy.a,phy_reg,.iram1,2723,0,0,2723,0,0x4037b144,0x0058144-0x0058be7
20,(exe),esp_butt,<serde_describe::de::SchemaDeserializer<&mut postcard::de::deserializer::Deserializer<postcard::de::flavors::Slice>>>::do_deserialize_struct::<<buttplug_server_device_config::device_definitions::ServerDeviceDefinition as serde_core::de::Deserialize>::deserialize::__Visitor>,2682,2682,0,0,0,0x42005c3c,0x0064c3c-0x00656b6
21,libspi_flash.a,spi_flash_chip_generic.c,.rodata.spi_flash_chip_generic_read_unique_id.str1.1,2629,0,0,2629,0,0x3fc94450,0x004f450-0x004fe95
